-0.3195256,-0.1221881,0.4455642
-0.3244522,-0.1232095,0.4486821
-0.3141407,-0.1210612,0.4485181
-0.3126679,-0.1152131,0.4394411
-0.3211929,-0.1116286,0.4331869
-0.3153889,-0.1082942,0.4456762
-0.3085091,-0.1156771,0.4617221
-0.2878259,-0.1185991,0.4583223
-0.2518362,-0.113516,0.4698031
-0.2351358,-0.1388148,0.4834723
-0.2174703,-0.1658378,0.5053268
-0.1965793,-0.1879389,0.5244213
-0.1850866,-0.2230947,0.5247112
-0.1835655,-0.261182,0.5134181
-0.1756614,-0.2819737,0.500033
-0.1754975,-0.3175305,0.5095825
-0.1697763,-0.3453548,0.4607062
-0.1955854,-0.3634344,0.4403536
-0.218979,-0.3765133,0.4091337
-0.2422535,-0.3850855,0.3996049
